,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
521,521,1904A,104.3553,31.1091,耐火材料厂,德阳,131.87,104.09,99.11,83.2,80.54,65.02,51.85,53.38,51.26,61.94,93.95,128.73
522,522,1906A,106.0789,30.8023,南充市委,南充,109.44,93.63,79.05,61.91,68.51,48.44,45.43,46.05,46.24,51.62,69.89,95.08
523,523,1907A,106.1031,30.8217,南充炼油厂,南充,111.98,96.41,81.97,65.23,74.48,52.63,48.76,53.33,50.94,56.74,77.32,99.42
524,524,1908A,106.1064,30.7856,高坪区监测站,南充,117.18,97.71,80.81,68.16,74.76,55.01,50.83,55.19,54.26,58.72,79.02,109.22
525,525,1909A,106.0642,30.7636,嘉陵区环保局,南充,105.52,88.79,73.25,57.6,62.58,43.05,39.96,41.97,40.68,46.54,64.83,92.86
526,526,1910A,106.1087,30.8388,市环境监测站,南充,105.22,89.81,72.04,60.64,69.5,47.22,43.76,46.39,43.77,48.23,67.37,96.33
527,527,1911A,106.9222,27.6869,丁字口,遵义,64.67,62.29,58.51,54.77,50.42,37.05,38.78,41.06,44.05,41.25,49.72,65.88
528,528,1912A,106.9242,27.7019,凤凰山,遵义,49.79,50.83,49.13,41.21,36.95,27.89,29.27,29.14,34.2,34.8,38.81,53.81
529,529,1913A,106.8906,27.6486,忠庄,遵义,63.58,60.57,58.01,53.7,49.06,41.41,39.15,39.15,44.74,45.67,53.5,68.88
530,530,1915A,106.9178,27.72,干田坝,遵义,57.86,56.81,57.32,51.28,45.84,35.89,32.74,31.95,38.65,41.17,46.25,58.98
531,531,1916A,103.7897,25.5035,环境监测站,曲靖,45.43,51.39,63.43,59.64,47.74,32.37,34.18,38.67,37.4,37.65,43.83,53.3
532,532,1917A,103.8,25.5364,烟厂办公区,曲靖,46.84,48.98,64.68,57.39,45.79,29.96,32.1,35.44,31.13,34.05,43.55,53.67
533,533,1919A,108.673,34.3155,实验中学,咸阳,183.25,146.64,159.6,120.89,116.8,74.71,64.38,64.89,75.72,98.99,157.59,178.07
534,534,1920A,108.7233,34.3617,师范学院,咸阳,171.63,131.64,149.4,117.04,111.54,72.23,61.19,61.66,69.81,91.81,143.98,167.28
535,535,1923A,109.0697,35.0697,王益区政府,铜川,126.58,103.84,119.55,91.51,85.71,59.19,51.52,49.84,54.79,72.34,106.3,117.26
536,536,1924A,108.9344,34.9058,新区管委会,铜川,128.79,105.07,125.14,94.58,85.84,60.8,52.14,52.08,56.2,74.82,108.61,115.88
537,537,1930A,107.185,34.3063,庙沟村(对照点),宝鸡,118.88,100.67,108.63,75.51,67.93,41.5,41.46,43.67,42.53,61.17,96.32,111.32
538,538,1932A,107.1906,34.3672,三陆医院,宝鸡,150.69,127.23,132.44,95.84,83.11,53.33,53.53,56.09,57.06,80.28,126.11,149.22
539,539,1933A,107.1431,34.3547,监测站,宝鸡,143.41,117.42,119.75,86.88,76.55,49.14,47.18,48.28,46.97,64.76,108.71,132.9
540,540,1934A,107.1186,34.3739,技工学校,宝鸡,143.33,120.38,130.64,95.99,86.15,56.46,55.32,55.38,53.55,71.34,108.9,130.9
541,541,1935A,107.3906,34.3528,陈仓区环保局家属楼,宝鸡,170.54,138.48,138.25,103.68,92.66,59.63,54.9,59.18,59.71,85.3,133.53,164.79
542,542,1939A,109.4974,34.4877,日报社,渭南,178.72,143.01,159.46,117.11,103.83,67.35,57.58,58.27,70.54,86.65,145.32,170.5
543,543,1940A,109.4636,34.493,体育馆,渭南,183.04,141.33,164.91,124.4,107.89,75.58,62.68,60.77,72.29,92.11,146.39,183.4
544,544,1941A,109.4259,34.5023,高新一小,渭南,177.82,137.58,146.2,114.7,101.45,71.39,60.99,62.13,74.23,89.55,143.71,169.72
545,545,1943A,102.1725,38.5339,新川苑,金昌,88.6,85.54,164.34,104.41,126.01,65.2,58.22,47.69,51.32,72.7,97.99,89.44
546,546,1944A,102.1692,38.5167,天庆家园,金昌,111.96,109.15,192.66,116.65,135.28,67.12,60.58,50.62,54.34,81.98,113.36,108.0
547,547,1945A,98.2908,39.7711,气象局,嘉峪关,89.57,96.04,173.11,105.27,112.59,80.93,68.48,64.96,66.58,90.86,87.52,84.42
548,548,1947A,106.3394,38.817,沙湖旅游区(对照点),石嘴山,160.58,122.67,166.16,116.49,131.25,80.32,68.33,59.35,66.39,95.11,127.83,137.12
549,549,1948A,106.3668,39.0145,大武口朝阳西街,石嘴山,146.32,111.85,143.23,107.48,125.98,75.5,66.79,59.92,66.29,89.1,127.03,129.67
550,550,1949A,106.7704,39.2282,惠农南大街,石嘴山,147.48,116.5,157.4,123.8,150.33,83.18,69.31,62.21,61.1,93.18,122.55,118.4
551,551,1951A,84.895,45.6094,长征新村,克拉玛依,95.92,76.7,48.07,48.07,45.17,39.24,36.68,39.86,48.79,50.93,60.38,89.13
552,552,1952A,84.8988,45.5893,南林小区,克拉玛依,100.78,78.89,39.13,35.85,32.16,24.82,28.38,30.38,40.57,47.99,63.76,93.71
553,553,1954A,84.905,44.3396,独山子区,克拉玛依,142.82,132.14,71.86,54.31,38.33,26.02,29.81,29.27,39.21,51.87,76.78,118.96
554,554,1955A,85.6979,46.098,乌尔禾区商贸楼,克拉玛依,95.55,82.4,49.43,53.02,46.37,42.01,46.11,47.54,49.34,48.82,55.79,86.95
555,555,1957A,86.1972,41.7166,棉纺厂,巴音郭楞州,126.92,224.78,328.73,195.24,162.49,86.37,88.15,78.11,96.85,149.02,175.49,134.27
