,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
482,482,1845A,112.2008,30.3544,市委党校,荆州,69.19,58.19,54.02,46.19,45.8,35.9,34.93,43.26
483,483,1847A,113.1094,29.3578,南湖风景区,岳阳,48.56,48.51,51.13,46.43,45.79,39.63,36.78,35.65
484,484,1848A,113.1493,29.4251,城陵矶,岳阳,57.32,51.48,51.76,45.17,43.47,36.02,35.05,33.76
485,485,1849A,113.1497,29.3575,开发区,岳阳,55.64,50.63,46.63,39.05,37.69,33.06,32.13,33.58
486,486,1850A,113.2621,29.4758,云溪区,岳阳,52.63,44.85,49.17,44.72,43.11,36.75,36.93,32.99
487,487,1851A,112.9943,29.4402,君山区,岳阳,48.16,47.93,46.91,43.51,47.71,41.59,38.48,37.6
488,488,1852A,113.2117,29.355,金凤水库(对照点),岳阳,56.35,49.35,45.2,41.82,39.98,35.5,33.49,30.37
489,489,1854A,111.6975,28.9703,市二中,常德,52.64,51.69,47.03,41.85,45.76,40.01,38.03,39.15
490,490,1857A,111.7158,29.1456,白鹤山(对照点),常德,35.03,47.35,37.5,37.82,43.68,36.71,34.7,35.42
491,491,1858A,110.5319,29.1217,永定新区,张家界,58.85,50.69,46.33,38.52,36.11,30.64,33.27,33.33
492,492,1860A,110.5594,29.3547,未央路,张家界,36.44,35.79,32.79,23.79,25.09,19.62,19.29,21.1
493,493,1862A,110.4144,25.3167,电子科大尧山校区(对照点),桂林,40.51,38.27,35.75,33.75,29.82,25.75,24.99,24.59
494,494,1863A,110.2819,25.2697,监测站,桂林,52.33,47.94,43.1,38.36,35.17,32.26,33.63,28.52
495,495,1864A,110.3089,25.2708,龙隐路小学,桂林,51.11,46.5,46.58,37.8,33.55,28.62,28.61,28.09
496,496,1865A,110.2869,25.2178,八中,桂林,49.68,46.27,42.0,36.79,33.17,27.59,29.18,28.54
497,497,1867A,109.1436,21.4086,海滩公园,北海,27.75,25.44,26.68,25.17,23.99,19.68,20.21,18.87
498,498,1868A,109.0981,21.4661,新市环保局,北海,27.68,25.31,26.09,23.41,25.54,22.18,20.52,22.48
499,499,1869A,109.1778,21.5233,北海工业园,北海,31.04,33.59,31.25,31.05,29.38,27.69,28.81,25.76
500,500,1870A,109.4856,24.3895,柳东小学,柳州,44.65,40.15,40.86,37.39,31.86,28.28,28.86,32.03
501,501,1871A,109.4157,24.3277,环保监测站,柳州,49.43,44.22,49.52,42.92,37.7,30.08,32.66,29.56
502,502,1872A,109.389,24.341,河西水厂,柳州,52.56,49.24,48.15,41.81,38.47,29.75,33.04,32.86
503,503,1873A,109.4311,24.2921,市四中,柳州,50.15,44.1,42.79,38.42,35.36,29.65,30.57,27.67
504,504,1875A,109.4958,24.3134,古亭山,柳州,42.74,40.5,37.99,31.58,28.26,24.66,26.19,23.92
505,505,1876A,109.5078,18.2489,河东子站,三亚,17.54,12.72,15.62,15.33,14.48,11.21,12.22,10.85
506,506,1877A,109.4964,18.2681,河西子站,三亚,16.71,14.48,14.58,14.35,12.9,10.89,11.95,10.77
507,507,1878A,104.7778,31.4741,富乐山,绵阳,42.44,44.03,41.48,40.46,30.91,27.55,28.23,30.64
508,508,1879A,104.7563,31.4535,市人大,绵阳,45.02,50.48,49.26,47.56,38.35,34.4,32.27,34.13
509,509,1880A,104.6697,31.4668,高新区自来水公司,绵阳,49.39,51.53,51.98,45.79,42.38,36.1,38.73,38.25
510,510,1881A,104.7287,31.5075,三水厂,绵阳,48.83,50.91,51.7,48.5,38.65,36.84,40.45,38.32
511,511,1882A,104.563,28.793,石马中学(对照点),宜宾,56.57,64.07,57.43,50.53,45.71,41.03,43.68,41.25
512,512,1883A,104.6201,28.7728,市委,宜宾,54.94,56.57,51.47,49.77,46.7,41.02,46.08,42.2
513,513,1884A,104.6055,28.793,宜宾四中,宜宾,63.23,65.74,59.9,49.89,48.5,39.27,45.03,44.29
514,514,1885A,104.639,28.7562,市政府,宜宾,59.09,51.56,46.71,49.05,46.01,37.41,42.34,42.4
515,515,1886A,104.5742,28.7199,黄金嘴,宜宾,57.27,52.19,65.9,56.21,45.47,39.72,40.69,38.89
516,516,1888A,101.6891,26.571,弄弄坪,攀枝花,34.93,31.23,36.58,38.29,32.36,31.37,35.44,31.27
517,517,1889A,101.5769,26.5928,河门口,攀枝花,32.92,35.61,36.97,34.04,27.32,27.66,28.14,24.55
518,518,1890A,101.7169,26.585,炳草岗,攀枝花,31.09,30.68,37.61,36.44,32.06,34.46,34.8,29.67
519,519,1891A,101.7369,26.5008,仁和,攀枝花,29.37,28.51,30.1,31.21,26.86,26.75,27.09,26.26
520,520,1893A,105.4324,28.9634,九狮山(对照点),泸州,55.94,65.87,48.25,36.73,39.04,36.66,38.09,34.49
521,521,1894A,105.4427,28.9063,小市上码头,泸州,64.14,71.3,57.13,41.55,44.79,40.07,41.55,41.76
522,522,1895A,105.4241,28.8573,兰田宪桥,泸州,62.8,60.62,52.99,36.88,38.4,36.39,40.3,37.28
523,523,1896A,105.4379,28.8833,市环监站,泸州,56.19,60.4,47.87,34.55,40.95,35.94,36.45,36.28
524,524,1901A,104.4239,31.1208,东山公园,德阳,43.44,40.73,42.6,36.11,35.45,34.6,34.73,34.32
525,525,1902A,104.3826,31.1317,西小区,德阳,57.55,51.8,47.94,39.8,40.01,37.96,36.2,34.85
526,526,1904A,104.3553,31.1091,耐火材料厂,德阳,60.94,63.72,64.89,53.9,47.66,41.6,39.28,38.25
527,527,1906A,106.0789,30.8023,南充市委,南充,60.06,56.56,45.53,47.49,43.81,40.48,40.5,34.99
528,528,1907A,106.1031,30.8217,南充炼油厂,南充,63.66,52.4,46.81,47.74,45.36,34.2,32.99,32.72
529,529,1908A,106.1064,30.7856,高坪区监测站,南充,63.46,61.48,47.23,49.86,41.51,36.86,38.05,36.32
530,530,1909A,106.0642,30.7636,嘉陵区环保局,南充,59.0,58.42,49.28,46.18,40.14,34.62,34.07,35.86
531,531,1910A,106.1087,30.8388,市环境监测站,南充,57.68,55.69,43.55,42.63,40.93,37.06,37.73,37.36
532,532,1911A,106.9222,27.6869,丁字口,遵义,41.89,42.86,37.48,28.65,21.69,21.45,24.83,23.97
533,533,1912A,106.9242,27.7019,凤凰山,遵义,33.3,40.13,31.91,25.24,18.63,16.95,19.98,19.5
534,534,1913A,106.8906,27.6486,忠庄,遵义,45.88,47.7,29.21,26.24,22.79,18.62,22.13,21.07
535,535,1915A,106.9178,27.72,干田坝,遵义,44.45,46.04,33.52,27.84,19.43,16.46,21.67,20.72
536,536,1916A,103.7897,25.5035,环境监测站,曲靖,30.55,30.57,27.98,28.01,19.76,18.76,20.72,21.17
537,537,1917A,103.8,25.5364,烟厂办公区,曲靖,29.43,31.32,28.33,28.43,21.82,21.03,20.65,18.53
538,538,1919A,108.673,34.3155,实验中学,咸阳,55.96,76.97,79.28,68.91,68.84,55.32,50.91,56.77
539,539,1920A,108.7233,34.3617,师范学院,咸阳,54.96,80.92,79.31,68.21,65.24,54.35,50.92,57.29
540,540,1923A,109.0697,35.0697,王益区政府,铜川,54.57,54.0,54.03,50.07,48.07,43.04,37.5,38.02
541,541,1924A,108.9344,34.9058,新区管委会,铜川,60.08,54.81,50.26,43.9,45.81,43.37,38.94,40.32
542,542,1930A,107.185,34.3063,庙沟村(对照点),宝鸡,50.56,50.49,45.53,41.81,44.67,38.55,33.09,36.74
543,543,1932A,107.1906,34.3672,三陆医院,宝鸡,43.56,46.63,59.17,53.89,54.22,49.45,45.16,50.24
544,544,1933A,107.1431,34.3547,监测站,宝鸡,56.69,60.45,61.48,49.6,49.68,43.53,38.58,45.16
545,545,1934A,107.1186,34.3739,技工学校,宝鸡,56.17,55.4,52.4,49.62,49.37,43.27,38.21,46.12
546,546,1935A,107.3906,34.3528,陈仓区环保局家属楼,宝鸡,72.15,75.25,75.95,64.07,62.0,55.1,49.26,53.22
