,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
323,323,1585A,109.8756,40.6532,市环境监测站,包头,100.27,76.04,85.6,73.67,78.94,56.99,53.41,48.78,50.76,63.52,78.9,85.8
324,324,1587A,109.9991,40.5842,包头八中,包头,120.54,93.49,105.35,90.18,94.07,65.69,59.63,58.47,62.75,80.28,96.72,103.87
325,325,1588A,109.8538,40.6821,青山宾馆,包头,106.95,79.25,87.93,73.74,78.05,55.69,54.59,50.34,53.73,66.96,88.5,97.92
326,326,1589A,109.8642,40.6288,惠龙物流,包头,103.11,79.39,88.55,75.51,83.87,60.42,56.67,50.01,51.97,65.61,84.5,93.31
327,327,1590A,110.0377,40.5546,东河鸿龙湾,包头,109.72,85.16,92.28,77.83,81.58,61.37,55.99,50.07,52.14,68.58,83.36,93.95
328,328,1591A,110.0023,39.8129,综合楼,鄂尔多斯,75.49,67.86,84.81,75.78,76.66,58.05,55.28,50.87,50.48,57.66,67.76,62.93
329,329,1592A,109.9486,39.8261,巴音孟克林场办事处,鄂尔多斯,68.71,63.1,79.19,68.96,71.32,55.54,52.82,48.84,47.6,53.95,61.72,55.72
330,330,1593A,109.7736,39.5986,康泽苑,鄂尔多斯,59.78,56.27,73.48,64.19,64.93,49.91,47.91,42.56,41.19,45.85,55.69,49.97
331,331,1594A,109.8119,39.5989,华泰汽车城,鄂尔多斯,65.57,59.43,75.97,67.18,67.27,51.33,48.15,44.44,42.69,48.79,58.95,54.33
332,332,1595A,109.9734,39.7884,奥林花园,鄂尔多斯,71.82,65.25,82.78,72.49,72.77,55.97,53.41,48.5,49.3,56.04,66.21,60.88
333,333,1597A,122.2703,40.7094,大庆路,营口,112.88,89.67,80.51,73.65,61.45,54.68,48.3,47.54,54.59,59.51,83.12,89.73
334,334,1598A,122.215,40.6511,镜湖西路,营口,89.58,76.41,73.38,68.72,59.14,50.63,45.49,41.15,47.02,52.84,72.53,73.75
335,335,1600A,124.3303,40.0625,江湾东路,丹东,76.24,73.67,76.2,62.09,52.8,42.38,34.58,31.78,39.18,49.36,65.46,71.6
336,336,1602A,124.3933,40.1461,元宝山,丹东,68.93,68.5,73.27,58.95,48.21,40.88,33.81,29.02,35.07,45.16,58.73,65.07
337,337,1603A,124.3633,40.1092,民主桥,丹东,76.42,75.26,75.6,62.14,53.76,43.22,35.82,33.08,39.26,50.5,65.19,72.69
338,338,1604A,122.0303,41.1489,开发区,盘锦,90.38,87.38,80.26,75.1,60.44,55.76,46.9,41.16,46.0,58.13,74.46,76.09
339,339,1605A,122.0485,41.0883,兴隆台,盘锦,87.36,84.94,80.16,75.56,60.91,52.21,44.26,40.97,45.87,58.3,74.49,73.93
340,340,1607A,120.9092,40.7136,龙港区,葫芦岛,112.36,99.97,95.63,84.81,68.4,61.43,60.9,51.3,53.21,66.94,84.8,95.26
341,341,1608A,120.8392,40.7514,化工街,葫芦岛,94.79,85.22,87.68,80.74,70.12,61.84,56.96,51.31,55.54,67.26,76.08,84.2
342,342,1609A,120.8341,40.7073,新区,葫芦岛,88.36,81.68,80.22,74.33,61.84,54.67,54.81,50.8,52.15,60.49,72.86,76.64
343,343,1610A,120.8695,40.7677,东城区,葫芦岛,101.78,90.05,88.76,78.56,70.98,60.86,57.4,50.72,52.83,62.72,77.51,90.07
344,344,1612A,118.5972,24.8978,津头埔,泉州,51.13,52.5,54.83,55.17,47.04,37.24,41.11,38.87,41.49,42.15,41.93,45.54
345,345,1618A,118.3429,35.0532,沂河小区,临沂,138.48,103.34,101.82,95.66,85.86,74.08,58.02,54.03,63.51,83.09,97.11,122.48
346,346,1619A,118.295,35.0583,鲁南制药厂,临沂,144.61,109.07,103.94,93.81,86.54,76.33,55.62,53.86,64.78,83.91,99.51,130.18
347,347,1620A,118.2794,34.9976,新光毛纺厂,临沂,141.93,105.28,103.63,95.13,85.66,76.99,57.78,54.89,67.4,88.67,100.01,129.7
348,348,1621A,118.3956,35.0888,河东保险公司,临沂,143.11,106.23,101.58,90.4,80.79,70.84,53.85,50.18,61.16,78.56,95.06,125.94
349,349,1625A,115.9848,36.4372,区政府,聊城,154.76,112.58,110.39,95.28,90.03,83.25,70.13,62.8,75.44,94.0,113.77,141.06
350,350,1629A,118.0018,37.3617,第二水厂,滨州,124.9,102.24,107.22,94.84,88.07,77.56,67.12,55.32,66.58,84.89,95.49,119.37
351,351,1630A,117.9776,37.393,北中新校,滨州,118.94,95.65,101.54,87.32,78.01,74.3,68.04,53.63,63.93,77.13,93.72,117.57
352,352,1631A,118.0414,36.8103,人民公园,淄博,135.85,102.85,108.8,94.09,87.37,82.64,69.89,62.27,74.16,92.86,107.82,130.75
353,353,1633A,117.8525,36.4847,双山,淄博,143.43,107.53,106.55,95.96,83.81,78.56,61.86,56.67,69.31,85.45,104.0,125.24
354,354,1635A,118.3092,36.8194,莆田园,淄博,138.36,105.12,110.7,98.16,92.3,86.33,73.24,64.97,80.51,92.77,107.06,130.74
355,355,1637A,117.558,34.8438,市中区政府,枣庄,144.78,111.72,111.17,97.18,89.58,83.03,62.89,61.49,77.13,96.95,111.97,136.19
356,356,1638A,117.2852,34.7837,薛城环保局,枣庄,151.76,116.11,111.05,97.01,87.91,80.3,60.44,59.1,71.89,92.73,109.31,130.82
357,357,1639A,117.5852,34.7745,峄城区政府,枣庄,148.15,117.91,110.85,97.76,91.17,83.68,64.39,59.26,73.14,92.56,106.76,133.45
358,358,1640A,117.7276,34.5578,台儿庄区环保局,枣庄,155.14,119.29,108.87,93.59,82.47,74.2,55.57,54.68,70.42,90.9,109.5,137.83
359,359,1641A,117.4518,35.0992,山亭区环保局,枣庄,136.46,108.82,100.85,90.21,80.29,77.78,57.85,56.21,64.69,79.6,97.8,120.35
360,360,1643A,121.3719,37.5433,轴承厂,烟台,83.38,72.14,77.05,71.9,61.97,51.71,43.78,43.08,46.55,53.87,65.99,80.16
361,361,1645A,121.4478,37.4822,莱山环保局,烟台,65.69,59.78,66.56,62.11,59.49,48.58,41.88,40.63,45.07,51.24,57.93,65.87
362,362,1646A,121.2611,37.4967,福山环保局,烟台,86.21,72.91,77.41,72.17,64.29,53.35,46.83,42.89,49.32,57.76,68.62,80.14
363,363,1650A,119.1437,36.7023,环保局,潍坊,120.43,94.84,95.14,86.08,80.96,70.92,58.3,54.0,65.85,80.06,91.75,113.31
364,364,1653A,116.6251,35.4302,火炬城,济宁,141.75,98.69,92.88,83.65,81.79,78.21,58.67,55.81,64.71,79.18,101.29,129.53
365,365,1655A,116.5491,35.4042,电化厂,济宁,139.92,98.79,94.98,87.53,86.63,77.86,58.91,57.92,67.17,86.19,101.16,124.53
366,366,1656A,117.1437,36.1937,监测站,泰安,138.2,102.36,100.19,87.11,82.09,77.53,61.31,54.24,66.98,79.04,98.98,121.09
367,367,1657A,117.0885,36.2017,人口学校,泰安,124.47,93.49,94.25,82.49,75.79,74.84,58.34,50.35,61.95,75.13,94.06,111.19
368,368,1659A,119.471,35.4209,监测站,日照,117.11,86.42,87.6,80.75,74.48,58.8,49.07,45.05,53.39,68.12,82.04,104.59
369,369,1660A,119.523,35.4216,市政府广场,日照,110.29,81.39,82.14,78.06,68.93,53.54,46.44,42.78,50.26,61.42,75.28,97.37
370,370,1662A,122.1214,37.4236,华夏技校,威海,65.02,59.79,68.26,66.69,57.89,46.47,40.19,37.3,39.82,44.67,52.8,63.87
371,371,1669A,113.5824,24.7733,市八中,韶关,61.22,50.88,48.89,51.09,44.89,35.52,40.3,39.55,46.92,46.73,47.89,56.65
372,372,1671A,113.5917,24.7972,园林处,韶关,57.53,49.65,47.85,48.15,43.31,34.74,40.9,40.3,47.73,47.76,47.53,55.47
373,373,1672A,113.6735,24.7791,韶关学院,韶关,57.92,49.6,45.33,47.18,41.09,34.25,40.35,38.45,46.71,48.78,48.92,57.54
374,374,1673A,113.5971,24.6863,曲江监测站,韶关,63.98,52.32,49.84,51.22,45.53,36.94,42.7,42.33,49.94,50.75,51.77,61.65
375,375,1674A,116.6794,23.3667,金平子站,汕头,53.67,49.52,53.12,49.33,39.68,29.07,31.64,35.79,42.69,46.96,47.68,52.21
376,376,1675A,116.7244,23.3633,龙湖子站,汕头,49.98,47.18,50.73,47.21,38.83,28.1,31.29,34.25,41.18,44.21,44.17,47.26
377,377,1676A,116.7258,23.2775,濠江子站,汕头,46.02,45.21,46.33,43.5,35.46,26.82,28.35,31.39,38.93,41.77,40.42,44.81
378,378,1677A,116.7519,23.4714,澄海子站,汕头,54.79,50.4,56.07,51.57,40.97,31.46,34.1,35.52,42.41,45.42,46.73,49.88
379,379,1678A,116.6092,23.2539,潮阳子站,汕头,50.35,49.4,51.99,49.01,37.91,26.72,30.33,33.11,40.31,44.24,44.88,48.15
380,380,1680A,110.3539,21.2706,湛江影剧院,湛江,57.26,50.96,41.78,40.91,33.45,30.87,28.43,30.25,37.06,48.47,50.4,58.9
381,381,1681A,110.3928,21.2228,市环境监测站,湛江,53.47,46.89,39.46,38.26,31.68,28.61,27.03,30.12,38.41,49.47,49.44,57.84
382,382,1682A,110.4019,21.1997,环保局宿舍,湛江,55.83,49.37,39.64,39.12,32.25,30.19,28.76,30.07,36.92,48.21,49.99,58.24
383,383,1683A,110.4111,21.2028,霞山游泳场,湛江,56.18,49.41,40.55,37.79,30.95,27.3,26.3,27.98,35.89,47.7,48.86,58.02
384,384,1684A,110.3316,21.2679,麻章区环保局,湛江,58.61,52.49,42.42,42.43,36.41,33.28,31.02,33.21,41.97,54.36,54.29,63.32
385,385,1686A,111.0286,21.4688,电白南海,茂名,58.68,50.42,40.3,36.14,28.71,24.1,24.86,29.28,36.94,47.07,49.38,56.56
386,386,1687A,110.9294,21.6533,茂石化七小,茂名,62.19,54.3,44.07,41.09,32.03,27.68,28.39,31.76,39.36,49.4,53.71,60.06
387,387,1688A,110.9107,21.6687,健康路,茂名,63.57,54.52,42.52,39.15,29.58,24.63,25.38,29.33,38.42,49.64,52.88,61.11
388,388,1690A,116.1231,24.3284,梅江月梅,梅州,49.54,44.61,43.13,44.65,35.8,26.81,31.44,31.52,39.95,41.64,43.11,46.22
389,389,1691A,116.0797,24.2719,梅县新城,梅州,52.74,47.59,46.49,46.88,38.54,28.02,33.31,32.9,42.1,44.71,46.39,49.26
390,390,1692A,116.1248,24.2654,环境监控中心,梅州,54.81,47.77,48.31,49.18,40.25,30.94,35.92,33.85,43.58,46.77,49.64,51.66
391,391,1693A,115.3653,22.775,市环保局,汕尾,48.89,43.7,44.17,40.7,32.11,24.85,25.54,28.29,37.15,42.07,42.72,44.35
392,392,1694A,115.3706,22.7898,市政府,汕尾,48.9,43.1,46.62,42.33,33.96,27.45,27.55,30.66,36.62,41.8,43.93,44.47
393,393,1695A,115.3622,22.7925,新城中学,汕尾,51.3,45.13,46.8,42.51,33.75,26.56,29.55,30.78,38.77,43.58,45.02,46.94
394,394,1696A,114.6778,23.7569,源西(对照点),河源,54.68,46.19,43.14,46.12,39.45,32.47,37.33,37.24,43.53,48.02,48.05,52.79
395,395,1697A,114.6944,23.7586,东埔,河源,53.86,45.12,44.04,46.87,40.99,32.05,36.99,35.86,43.28,47.31,48.17,53.38
396,396,1698A,114.6892,23.7233,老城,河源,51.3,44.08,42.93,46.46,40.8,32.33,39.19,37.82,43.98,47.53,46.33,51.22
397,397,1701A,111.9491,21.8658,马南垌,阳江,61.22,48.23,47.76,42.86,33.71,26.46,28.12,31.17,40.9,50.88,57.08,61.04
398,398,1703A,113.0208,23.7106,凤城街办,清远,63.12,55.72,56.48,54.47,46.44,37.79,40.05,41.5,46.52,46.42,48.1,50.91
399,399,1705A,116.6367,23.6719,西园路(对照点),潮州,59.73,55.13,62.03,52.26,43.1,31.96,35.07,34.99,41.66,44.21,47.0,47.97
400,400,1706A,116.6447,23.6706,档案局,潮州,55.55,51.32,58.92,51.98,43.96,33.02,36.32,36.03,43.08,44.46,47.55,48.09
401,401,1708A,116.3701,23.5345,新兴,揭阳,65.61,60.06,66.79,57.01,44.49,33.94,37.45,38.38,47.17,53.01,59.24,61.38
402,402,1710A,116.3611,23.5626,东兴,揭阳,63.84,56.69,62.22,55.88,43.94,32.31,36.88,39.13,46.27,51.48,57.52,59.14
403,403,1711A,116.4151,23.5294,渔湖,揭阳,68.0,61.37,67.65,59.99,46.12,35.47,39.64,40.77,48.97,53.44,60.42,63.83
404,404,1714A,112.0539,22.9539,牧羊,云浮,66.16,48.8,52.76,51.22,44.43,35.43,38.27,43.95,51.08,49.35,56.11,60.6
405,405,1715A,102.575,24.3711,东风水库,玉溪,34.4,46.13,56.04,52.31,41.85,27.12,26.38,29.3,28.31,27.67,30.33,36.6
