,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
572,572,2166A,112.4397,39.3522,平朔,朔州,89.96,89.09,83.39,83.23,82.62,77.82,77.46,70.69
573,573,2167A,112.4575,39.3617,朔唯,朔州,83.28,88.52,92.28,93.16,87.05,80.38,80.26,73.88
574,574,2168A,112.4258,39.3197,区政府,朔州,95.04,102.35,94.07,87.62,74.64,72.37,73.0,66.88
575,575,2169A,112.4072,39.3278,市环保局,朔州,83.85,86.62,90.29,87.25,79.13,74.7,77.27,67.97
576,576,2171A,112.7532,37.6945,锦纶小区,晋中,82.06,88.57,93.04,86.31,75.76,68.68,70.02,76.01
577,577,2173A,112.7249,37.7067,南都小区,晋中,87.0,93.54,93.9,90.61,79.3,71.03,72.7,79.45
578,578,2174A,112.6991,37.6982,榆次区政府,晋中,89.53,99.72,99.23,90.27,79.54,73.05,72.72,78.08
579,579,2175A,110.9956,35.0147,运城中学,运城,95.67,97.77,112.16,92.98,91.51,83.05,81.97,81.16
580,580,2178A,110.9686,35.0303,地区技校,运城,100.29,100.69,113.39,95.66,93.68,83.26,85.22,79.02
581,581,2181A,112.7383,38.4519,开发区,忻州,80.55,81.14,91.96,83.16,73.86,70.65,77.93,66.9
582,582,2182A,112.7003,38.4928,会展中心,忻州,94.54,91.64,95.01,83.29,71.07,67.95,75.2,66.31
583,583,2183A,111.1406,37.5211,环保局,吕梁,70.91,73.71,90.13,79.59,70.32,68.99,76.95,66.63
584,584,2187A,106.8174,39.6973,市林业局,乌海,91.14,80.62,81.01,83.51,69.65,70.4,74.5,65.78
585,585,2188A,106.7907,39.6667,中海勃湾学校,乌海,93.91,82.94,81.93,76.91,66.93,67.05,75.03,65.22
586,586,2191A,122.2532,43.6801,艺术职业学校,通辽,83.63,70.19,61.5,58.41,59.17,57.47,55.18,52.63
587,587,2192A,119.7594,49.2261,区环保局,呼伦贝尔,61.79,52.5,43.89,35.39,33.54,33.86,34.35,34.51
588,588,2195A,107.4212,40.761,附二中,巴彦淖尔,82.55,82.37,74.7,75.44,69.41,72.64,79.18,68.12
589,589,2197A,113.1306,40.9923,集宁新区,乌兰察布,66.92,57.81,52.32,53.97,46.63,45.18,51.78,43.56
590,590,2200A,122.0392,46.0656,胜华新制药厂,兴安盟,59.9,59.73,46.6,44.12,46.52,42.21,40.51,40.52
591,591,2201A,121.9504,46.0741,科右前旗环保局,兴安盟,54.15,47.15,38.25,37.01,37.45,38.25,38.45,39.23
592,592,2202A,116.1042,43.9317,市环保监测站,锡林郭勒盟,48.47,45.22,44.18,56.52,35.04,31.64,36.9,31.22
593,593,2204A,105.6467,38.8363,西城区西花园(对照点),阿拉善盟,71.74,62.36,66.07,69.98,55.91,54.77,68.59,56.88
594,594,2205A,105.6985,38.8411,蒙二幼,阿拉善盟,73.19,65.55,67.74,75.46,55.8,53.67,68.46,57.24
595,595,2206A,105.724,38.8516,环保局新楼,阿拉善盟,69.25,59.36,62.23,68.52,52.59,49.46,61.45,48.27
596,596,2207A,121.6094,41.998,工业园区,阜新,83.58,76.21,78.23,73.66,71.53,68.62,69.24,61.43
597,597,2208A,121.6697,42.0279,长青街,阜新,78.6,72.78,70.81,63.03,63.33,61.3,61.49,53.41
598,598,2209A,121.6673,42.0705,农业园区,阜新,72.77,62.55,61.97,55.63,56.61,56.09,57.1,50.29
599,599,2210A,121.6717,42.0224,东苑,阜新,91.52,85.45,81.37,75.52,74.44,71.81,72.44,60.72
600,600,2211A,121.6506,42.0498,玉龙新城,阜新,86.94,69.58,74.42,64.79,64.86,61.74,59.16,52.83
601,601,2212A,123.2,41.1953,宏伟区,辽阳,89.63,75.75,69.72,59.41,64.72,59.96,55.96,48.19
602,602,2213A,123.1683,41.2495,新华园,辽阳,85.46,78.17,75.42,66.81,70.2,69.78,64.05,58.83
603,603,2214A,123.2354,41.2639,滨河路,辽阳,91.84,75.57,75.19,64.2,66.35,66.32,61.82,58.8
604,604,2215A,123.149,41.2991,铁西工业园,辽阳,94.15,80.59,88.52,72.32,77.74,76.31,71.25,65.67
605,605,2216A,123.8139,42.3022,汇工街西,铁岭,85.85,85.54,90.26,69.87,75.91,70.27,65.73,61.85
606,606,2219A,123.7153,42.2217,金沙江路北,铁岭,83.79,75.81,77.43,66.14,69.57,67.29,59.41,54.14
607,607,2220A,120.4318,41.5881,西梁,朝阳,78.65,72.21,81.05,74.61,68.0,67.07,61.66,55.88
608,608,2221A,120.4521,41.5646,河畔小区,朝阳,67.81,60.3,70.1,66.01,61.33,59.82,55.99,50.62
609,609,2222A,120.4176,41.5648,八里堡,朝阳,82.35,68.25,81.32,72.3,68.66,67.67,63.01,53.84
610,610,2223A,120.3806,41.5969,农业园区,朝阳,65.53,58.38,68.05,68.24,62.29,61.02,56.88,50.13
611,611,2225A,124.4002,43.1713,一商场,四平,99.65,79.26,85.25,68.06,65.7,61.15,57.71,51.17
612,612,2226A,124.388,43.193,境园,四平,96.52,70.02,68.0,58.55,60.84,56.45,50.57,48.66
613,613,2227A,125.1358,42.8845,环保局,辽源,78.24,68.05,66.52,54.42,59.59,61.31,50.35,49.4
614,614,2229A,125.9358,41.7173,光明,通化,73.67,63.59,56.45,51.5,49.2,47.89,44.36,40.46
615,615,2230A,125.9446,41.7325,铁路,通化,82.65,69.84,59.18,49.67,51.11,48.63,45.59,40.56
