,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
379,379,1671A,113.5917,24.7972,园林处,韶关,39.35,32.98,30.02,28.86,24.72,17.95,21.5,21.76,29.62,30.51,30.75,37.42
380,380,1672A,113.6735,24.7791,韶关学院,韶关,40.81,33.94,30.18,30.33,24.69,18.51,22.79,21.92,29.12,31.86,33.12,40.32
381,381,1673A,113.5971,24.6863,曲江监测站,韶关,45.13,35.18,32.11,31.36,26.89,19.52,22.7,23.17,29.28,30.94,33.14,42.21
382,382,1674A,116.6794,23.3667,金平子站,汕头,34.58,30.44,31.88,27.63,21.06,13.85,15.28,18.51,22.4,24.9,26.68,31.55
383,383,1675A,116.7244,23.3633,龙湖子站,汕头,31.43,28.57,30.34,25.33,19.61,12.46,13.55,16.19,20.66,22.22,23.27,27.12
384,384,1676A,116.7258,23.2775,濠江子站,汕头,29.2,27.72,27.76,23.86,17.87,11.17,12.87,15.35,20.18,21.62,22.24,26.58
385,385,1677A,116.7519,23.4714,澄海子站,汕头,37.11,32.74,36.25,31.05,22.78,15.78,18.16,19.95,23.91,26.1,28.28,31.79
386,386,1678A,116.6092,23.2539,潮阳子站,汕头,30.72,30.54,30.89,26.75,19.76,12.07,14.84,17.1,21.24,22.91,24.56,27.54
387,387,1680A,110.3539,21.2706,湛江影剧院,湛江,39.05,34.49,25.04,23.38,17.03,12.96,12.34,14.56,19.91,29.25,31.82,39.74
388,388,1681A,110.3928,21.2228,市环境监测站,湛江,35.87,30.57,23.05,21.24,16.2,13.19,12.82,15.35,22.3,30.53,31.84,39.34
389,389,1682A,110.4019,21.1997,环保局宿舍,湛江,38.54,33.27,23.93,22.4,16.66,13.9,13.84,15.46,21.18,30.09,32.3,39.74
390,390,1683A,110.4111,21.2028,霞山游泳场,湛江,38.05,32.32,24.07,21.58,15.45,12.22,12.39,14.26,20.73,28.92,31.17,39.49
391,391,1684A,110.3316,21.2679,麻章区环保局,湛江,39.95,35.41,24.98,24.16,18.31,14.96,14.59,17.25,23.64,33.74,34.37,43.06
392,392,1686A,111.0286,21.4688,电白南海,茂名,37.8,32.46,21.64,18.07,13.53,9.09,10.03,13.72,19.19,25.83,28.11,34.03
393,393,1687A,110.9294,21.6533,茂石化七小,茂名,41.95,36.03,26.21,23.68,16.99,12.55,13.85,16.37,22.7,30.7,33.96,39.22
394,394,1688A,110.9107,21.6687,健康路,茂名,43.65,37.06,25.16,23.71,16.17,11.94,13.43,15.77,22.62,31.21,34.24,40.98
395,395,1690A,116.1231,24.3284,梅江月梅,梅州,33.46,29.99,27.29,27.18,20.4,13.09,16.89,16.81,23.18,25.15,26.6,30.04
396,396,1691A,116.0797,24.2719,梅县新城,梅州,35.96,32.51,29.9,29.26,22.24,13.77,17.63,17.84,24.9,27.6,29.91,32.31
397,397,1692A,116.1248,24.2654,环境监控中心,梅州,36.81,32.33,30.6,29.83,22.26,14.49,18.23,17.82,25.1,28.28,30.51,33.08
398,398,1693A,115.3653,22.775,市环保局,汕尾,31.91,27.23,26.8,22.29,16.27,11.65,11.29,13.57,19.88,23.36,25.27,27.61
