,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
751,751,2523A,105.8945,32.4535,黑石坡(对照点),广元,38.67,62.29,48.28,51.32,39.86,37.49,37.39,42.04
752,752,2524A,105.821,32.4444,老城,广元,63.3,68.7,60.86,61.81,52.06,43.96,44.46,46.14
753,753,2526A,105.8628,32.4287,监测站,广元,52.22,75.77,64.7,51.98,43.46,39.97,37.51,37.09
754,754,2528A,105.5582,30.5232,市监测站,遂宁,82.99,69.3,53.08,59.56,48.25,45.51,50.03,51.95
755,755,2529A,105.5861,30.5366,行政中心,遂宁,76.89,61.44,54.23,53.81,45.9,45.71,45.18,49.71
756,756,2530A,105.5918,30.4728,美宁食品公司,遂宁,95.49,73.96,85.69,68.17,55.06,51.95,53.85,60.39
757,757,2531A,105.0703,29.61,市监测站,内江,85.8,80.37,76.53,60.75,51.66,45.65,48.6,41.6
758,758,2532A,105.0717,29.5947,东兴区政府,内江,84.4,74.43,68.42,55.77,52.17,47.83,54.63,47.45
759,759,2533A,105.0653,29.5817,内江二中,内江,82.49,74.83,71.84,60.36,50.61,48.18,49.09,44.03
760,760,2534A,105.0406,29.5822,内江日报社,内江,83.67,79.99,69.37,58.47,52.96,51.48,56.91,49.72
761,761,2535A,103.7723,29.5462,花湖湾(对照点),乐山,76.69,77.14,75.96,66.91,59.2,53.54,59.21,55.12
762,762,2536A,103.7627,29.5844,牛耳桥,乐山,75.65,77.22,77.88,73.15,57.76,53.86,57.28,56.59
763,763,2537A,103.7508,29.6006,市第三水厂,乐山,78.97,79.38,79.82,71.99,59.03,54.32,56.57,59.16
764,764,2538A,103.7571,29.5664,市监测站,乐山,86.87,83.76,80.98,68.11,56.32,50.7,55.47,56.31
765,765,2539A,104.0308,30.0478,黑龙滩水库(对照点),眉山,76.88,76.19,63.31,48.64,40.18,37.73,39.54,34.99
766,766,2540A,103.8416,30.0874,气象局,眉山,93.4,93.19,83.83,71.98,64.76,57.51,56.61,48.82
767,767,2544A,106.6303,30.4576,市委,广安,85.25,74.25,79.81,68.12,56.13,51.65,50.82,51.0
768,768,2545A,106.6271,30.4663,友谊中学,广安,87.05,87.55,81.72,70.4,54.16,51.31,48.78,46.86
769,769,2547A,106.6388,30.4551,广电花园,广安,90.05,79.69,70.22,70.76,64.64,55.1,58.0,56.24
770,770,2548A,107.5277,31.2827,达州职业技术学院(对照点),达州,74.04,75.39,70.74,69.62,62.39,58.15,54.56,47.8
771,771,2549A,107.5086,31.2186,市环境监测站,达州,85.06,78.47,71.71,70.14,69.1,56.74,56.47,48.25
772,772,2550A,107.4988,31.2132,凤凰小区,达州,90.45,75.28,69.64,66.28,65.18,52.96,52.95,48.15
773,773,2551A,107.5082,31.1986,达县机关宾馆,达州,92.0,96.19,77.67,74.75,78.67,63.53,61.96,53.1
774,774,2552A,107.4644,31.2124,市政中心,达州,104.49,99.22,92.45,83.15,81.46,70.51,68.4,48.21
775,775,2555A,103.0111,29.9833,市政府,雅安,64.83,66.33,61.46,56.51,39.82,35.87,37.97,42.62
776,776,2561A,104.6617,30.1372,莲花山(对照点),资阳,67.81,69.36,61.34,65.09,54.44,47.86,45.57,50.38
777,777,2562A,104.6356,30.1506,资阳中学,资阳,78.63,94.48,80.12,61.95,50.75,50.2,48.25,54.51
778,778,2563A,104.6295,30.1383,四三一厂,资阳,76.33,90.77,82.55,72.45,56.16,54.24,52.89,57.4
779,779,2565A,104.6296,30.1256,区法院,资阳,81.17,91.73,83.16,70.16,51.6,48.03,48.12,53.57
780,780,2568A,102.2502,31.8896,马师校,阿坝藏族羌族自治州,29.97,38.01,23.72,21.8,20.38,21.75,24.72,16.03
781,781,2573A,102.2625,27.898,西昌市政府,凉山彝族自治州,42.32,37.93,40.04,34.6,34.6,37.17,35.38,34.26
782,782,2574A,102.2685,27.8851,凉山州政府,凉山彝族自治州,44.36,42.4,37.91,35.04,33.36,34.89,34.3,35.29
783,783,2575A,102.237,27.8914,长安,凉山彝族自治州,57.28,50.07,43.58,41.47,41.62,42.73,43.64,42.15
784,784,2577A,104.83,26.5917,黄土坡,六盘水,77.14,87.14,76.39,53.48,42.47,33.05,32.52,28.55
785,785,2578A,104.89,26.5939,水钢,六盘水,68.32,68.9,66.51,60.02,42.92,39.59,43.7,38.36
786,786,2579A,104.8475,26.5894,民中,六盘水,80.12,83.22,82.36,68.37,41.18,31.27,38.19,34.02
